rating,review
3.5,"This was a spot I've been dying to try out for numerous reasons but the main one is for their so called 'award-winning wings'. Which I would have to disagree with majorly due to the fact that the sauce was just not my cup of tea, it had a very ketchup taste to it. While I was massively disappointed with the wings. This is a place I will definitely come back to as it's super picturesque and while the wings were a let down the rest of what we ordered was gorgeous. Next time I think I would go for some fish. Such a cute spot, super cosy and was pretty watching the sunset coming down, as well as very pleasant staff."
4.0,"Worth the trip from Dublin! Well known for its wings, it doesn't disappoint. Amazing place for comfort food! The wings are as good as you would expect: really crispy and tasty, spicy and a bit zesty sauce. Delicious!! We also got the baby back ribs and those were great, some of the best I got: falling off the bone and very yummy! Great shoe string like fries and good desserts, although the sticky toffee pudding was a bit on the dry side with just average toffee. Still, a good cake, just not as decadent as you would want! Great place, really worth the visit, you leave happy!!"
4.5,"Heard lots of great reviews about the chicken wings and certainly wasn't disappointed! They are quality. Meaty generous portions and the sauce is amazing. The blue cheese dip could be better. Really nice friendly staff and great atmosphere. I went Sunday day it was quite busy but wasn't waiting too long. definitely go back."
4.0,"One of my 'go-to' restaurants for chicken wings. Much nicer than the over-rated Elephant and Castle. I always order the large portion of wings as my main, with a side of their Rustic Fries. Sauce is very tasty! I usually skip dessert here and opt for one of the tasty ice cream options from Storm in a Teacup outside on the pier."
4.0,"It's quite a trek to Skerries even from the Northside but Blue Bar is worth the trip for the atmosphere alone, it's ALWAYS packed especially on a sunny day. It's a fun place to head for, the views are amazing if you're lucky enough to be in a window. Their famous wings are great but very heavily sauced, I think I prefer slightly lighter sauce myself!"
3.5,"This was a spot I've been dying to try out for numerous reasons but the main one is for their so called 'award-winning wings'. Which I would have to disagree with majorly due to the fact that the sauce was just not my cup of tea, it had a very ketchup taste to it. While I was massively disappointed with the wings. This is a place I will definitely come back to as it's super picturesque and while the wings were a let down the rest of what we ordered was gorgeous. Next time I think I would go for some fish. Such a cute spot, super cosy and was pretty watching the sunset coming down, as well as very pleasant staff."
4.0,"Worth the trip from Dublin! Well known for its wings, it doesn't disappoint. Amazing place for comfort food! The wings are as good as you would expect: really crispy and tasty, spicy and a bit zesty sauce. Delicious!! We also got the baby back ribs and those were great, some of the best I got: falling off the bone and very yummy! Great shoe string like fries and good desserts, although the sticky toffee pudding was a bit on the dry side with just average toffee. Still, a good cake, just not as decadent as you would want! Great place, really worth the visit, you leave happy!!"
4.5,"Heard lots of great reviews about the chicken wings and certainly wasn't disappointed! They are quality. Meaty generous portions and the sauce is amazing. The blue cheese dip could be better. Really nice friendly staff and great atmosphere. I went Sunday day it was quite busy but wasn't waiting too long. definitely go back."
4.0,"One of my 'go-to' restaurants for chicken wings. Much nicer than the over-rated Elephant and Castle. I always order the large portion of wings as my main, with a side of their Rustic Fries. Sauce is very tasty! I usually skip dessert here and opt for one of the tasty ice cream options from Storm in a Teacup outside on the pier."
4.0,"It's quite a trek to Skerries even from the Northside but Blue Bar is worth the trip for the atmosphere alone, it's ALWAYS packed especially on a sunny day. It's a fun place to head for, the views are amazing if you're lucky enough to be in a window. Their famous wings are great but very heavily sauced, I think I prefer slightly lighter sauce myself!"
4.5,"Blue Bar is a lovely spot for food. It has a great location in Skerries overlooking the water. I absolutely love the wings here and usually always get them but the last time I went I decided to change things up.  I got the Thai beef salad and it was delicious! We arrived at lunch time and it wasn't too busy. I would definitely recommend this spot, especially if you haven't tried their wings yet!"
3.0,"Myself and friends went here last night celebrating a few birthdays, it wasn't anyone's first time being here. Our table wasn't ready for the time it was booked for so we were left waiting but staff were very friendly. I ordered a pear mojito in the mean time - lovely. I always find blues food to be quite average and if I don't order wings I feel like I'm left sitting there staring at the menu panicking what to order instead. I went with the chicken Caesar salad, it was nice. I also tried the wings and garlic bread, both delicious - it made me regret not ordering the wings. Others got the burger, wings, salmon, Singapore salad and a goats cheese dish. There were no complaints about the...read more"
4.5,This place is renowned for its long waits for a table and big portions of wings! I fancy myself a bit of a wing lover and I've found lately I've really gone off Blue wings! They just don't do it for me anymore. So yesterday I ordered one of their new dishes Rocket & Prawn Spaghetti with sun dried tomatoes in a juicy tomatoe sauce. There was a distinct lack of sun dried tomatoes which I was a bit peeved about as I was looking forward to them. We ordered cocktails to start instead of starters and I got the 'mint berry twist'... Absolutely delish! Overall everything was perfect apart from the slow service and our food and drinks coming out in dribs and drabs (something I hate!)
3.5,The cocktails we ordered were all delicious and very aesthetically pleasing. The chicken wings were gorgeous (as always). Unfortunately my burger was slightly overdone.
4.0,"Blue Bar is always consistent, the service is always great and so is the food. Went here on Friday night in a party of 7 and we were well looked after. The wings were wonderful as always (a must order) and everyone was happy with their mains - I had the Thai red curry with prawns, the sauce was so good. The only gripe our table had was the noise, it was so loud we couldn't hear one another, but it's a good complaint for the establishment, there was great atmosphere. A great spot with a great view of the harbour."
4.5,Love love love this place 💕 Such a great view and great atmosphere in the place. Their food is so tasty and have a great selection. The staff are always so pleasant and helpful.
4.5,"I absolutely love blue bar, such a nice location and great food! The wings were phenomenal and if your going to make the trip out there I would definitely recommend them! I also got their toffee cheesecake which was delicious but very filling! Their mojitos were also made perfectly! Was overall really impressed! It came out to be a bit on the pricey side but it was so worth it!"
5.0,"I love going to Blue Bar! Their gambas pil pil is my favourite thing on the menu. The garlic and chilli works so well together. If you like prawns, you're going to LOVE the pil pil. It's on the starters but I have that for my main with chips which are also amazing! For a starter I have a small wings, get the large if you're going to share. The large is way too big to have as a starter and perhaps too big as a main. I've tried and still had about 11 left, I was so full. The salt and chilli squid is another tasty starter. I've had the salads as a main but haven't been blown away by them. The cod and chips is delicious if you're a fish lover. I've had a few of their desserts and my...read more"
4.0,"I go to Blue Bar a good bit as they are famous for there wings ! The atmosphere is great and the environment is lovely for an evening out with friends . The view is also fabulous . Today I got the wings for starter and then another started of squid for my main . I am not a big fan of wings at all but The wings were lovely and they always are . The squid was also great . The meals are slightly over priced because it is such a popular restaurant . However the staff are very rude which is a big let down . They got our table reservation wrong and left us waiting . They were also rude when waiting our table . This is blue bars only let down but I will go back ."
5.0,"Have been to the blue bar loads of times, It's so worth the visit to skerries if you are a chicken wing fanatic..! Would also recommend the chicken and ribs 🍴 I'm not crazy for seafood but heard it's amazing from here! They have a great new menu and you can now book a table ahead (it used to be just walk in) ☺️"
4.0,"Fab, casual dining on the harbour in skerries. The chowder is delicious but I also got a portion of wings that came highly recommend to me by my son. Get a table outside if the sun is shining!"
4.0,This place is well known for its chicken wings but the past two times I've left disappointed by them. After a break away from it I decided to give it a go again and I'm so happy I did because the wings were back to a 10/10! We shared a small portion between three people for starters (so that's around 3 wings each plenty for just a nibble) and for my main I had the Cajun chicken burger with no bun. The chicken was very tender and the others got beef burgers which were really well flavoured. The servers are always so friendly and the place is always buzzing with atmosphere. Very enjoyable meal.
5.0,"Honestly cannot rate this place any higher ! Blue bar has everything you want in a casual restaurant from the views, the interior to the unbelievable menu . The food here is Always good and it's obvious why this place is always packed. It's been said by many that they probably do the best wings in Dublin ! Many different salads, burgers and amazing desserts to choose from. But you can't go here without getting even a starter portion of the wings you won't be disappointed :)"
4.5,"I came here with friends and we ordered half the menu! Everything was gorgeous! Especially the wings, I can see now why they are lovin dublins #2 best wings in Dublin"
2.5,"I heard such amazing reviews of the chicken wings in Blue Bar I had to pay a visit. 45mins drive from the city out to Skerries had my appetite primed. The room was filled with lovely booths but as there were only 2 of us we were seated at a high table at the bar which was a bit off-putting as the bar staff were working on top of us. After much deliberation we decided to split a portion of wings and a pulled pork sandwich but were disappointed to discover there was no pulled pork available. We ordered 2 large portions of wings on advice from the waitress but soon discovered that one large portion would have been LOADS for 2 hungry people, disappointing as the portions were €14 each...read more"
4.0,"We arrived Friday evening and the atmosphere was great, however upon sitting down a duet began singing and the volume of the speakers made it so no one could hear each other at the table and had to shout. This continued for about half an hour until it was fixed. Once this was sorted the experience we had was fantastic. Servers were excellent, food was delicious and portion sizes were very generous. I had the giant skyscraper burger but I will be definitely back to try the ribs. All in all a great spot to go to!"
4.0,"We ordered a burger and some wings, and both were really delicious. The meat on the burger was juicy and soft. The have outdoor and indoor dining, the music is a little loud indoors. The only downside is that the glass of soft drinks is way too small. You basically pay for a can of Coke and get 1/3 of that can in a glass. Other than that, it’s great."
1.0,I booked this place 2 weeks in advanced for my daughters birthday . June 11 6.30 pm . I recieved phone call on Friday June 11th at 11.15am to say that my table would be needed back at 7. Pm sharp . I would have to order at 6.30 and this could take 20 mins for my food and I would have 10 mins to eat it before I must leave . This is a total disgrace and I would not recommend this place for anybody and they will just leave you in the gutter on the morning of the meal which is absolutely disgraceful . To late to get another booking in another restaurant. Would not recommended this place as it will leave you hanging and upset any plans you have . So look elsewhere where restaurants would love...read more
4.0,"We arrived Friday evening and the atmosphere was great, however upon sitting down a duet began singing and the volume of the speakers made it so no one could hear each other at the table and had to shout. This continued for about half an hour until it was fixed. Once this was sorted the experience we had was fantastic. Servers were excellent, food was delicious and portion sizes were very generous. I had the giant skyscraper burger but I will be definitely back to try the ribs. All in all a great spot to go to!"
4.0,"We ordered a burger and some wings, and both were really delicious. The meat on the burger was juicy and soft. The have outdoor and indoor dining, the music is a little loud indoors. The only downside is that the glass of soft drinks is way too small. You basically pay for a can of Coke and get 1/3 of that can in a glass. Other than that, it’s great."
1.0,I booked this place 2 weeks in advanced for my daughters birthday . June 11 6.30 pm . I recieved phone call on Friday June 11th at 11.15am to say that my table would be needed back at 7. Pm sharp . I would have to order at 6.30 and this could take 20 mins for my food and I would have 10 mins to eat it before I must leave . This is a total disgrace and I would not recommend this place for anybody and they will just leave you in the gutter on the morning of the meal which is absolutely disgraceful . To late to get another booking in another restaurant. Would not recommended this place as it will leave you hanging and upset any plans you have . So look elsewhere where restaurants would love...read more
4.5,"Good place to go and eat American-style food. Food is tasty and you have plenty of different options to choose. The place is nice, staff was not that friendly. Nice to go with friends!"
4.0,With gigantic portions and great food there's no complaints from me about this place. If like me you enjoy nachos... Definitely get them here. I won't rant on about it too much but I will say you definitely need to try it whether it's for a meal or for casual drinks and bar bites with friends
4.5,"Awh.... This place is unreal.
Myself and himself went here on a whim one day. We were absolutely munched and started googling places near his apartment. It looked really good so we obliged. We got wings to share. They were fab, Franks sauce type of flavour going on and nice and messy. He ordered the ribs and I got the sirloin steak. The steak was cooked perfectly to what I ordered the sides were gorgeous too. The ribs fell off he bone and were smoothered in BBQ sauce - but just enough. Only downfall was the cocktails, They were like water and so overpriced, We tried 3 different types before we got the picture they were watering down the alcohol so it was somewhat our own doing for the...read more"
5.0,"Love this place, it is one of my favourite places to go really great food the chicken burger with aioli is amazing and my husband loves the ribs ! Couldn't fault it !"
4.5,"Gorgeous food! Huge portions I've never left unsatisfied, reasonably priced and a great place to eat and or drink with friends before nights out around swords.. Would recommend everyone to try here"
3.0,"Service was great the waitress was very friendly. The interior of hogs & heifers is very cool, very American bar vibe. I got the Louisiana wings and a goats cheese salad. Definitely wouldn't get the salad again it was tasteless. The wings were really good though. My friends got the ribs and chicken burger. Overall I think the chicken burger was the best choice out of the lot. Would go back to get the burger!"
4.0,"Absolutely delicious food, everything was mouth watering. Thursday night is Ladies Night which includes an 18€ deal with a starter, main, dessert and glass of prosecco! I would recommend the chicken and all there dresserts..."
4.5,"Awh.... This place is unreal.
Myself and himself went here on a whim one day. We were absolutely munched and started googling places near his apartment. It looked really good so we obliged. We got wings to share. They were fab, Franks sauce type of flavour going on and nice and messy. He ordered the ribs and I got the sirloin steak. The steak was cooked perfectly to what I ordered the sides were gorgeous too. The ribs fell off he bone and were smoothered in BBQ sauce - but just enough. Only downfall was the cocktails, They were like water and so overpriced, We tried 3 different types before we got the picture they were watering down the alcohol so it was somewhat our own doing for the...read more"
5.0,"Love this place, it is one of my favourite places to go really great food the chicken burger with aioli is amazing and my husband loves the ribs ! Couldn't fault it !"
4.5,"Gorgeous food! Huge portions I've never left unsatisfied, reasonably priced and a great place to eat and or drink with friends before nights out around swords.. Would recommend everyone to try here"
3.0,"Service was great the waitress was very friendly. The interior of hogs & heifers is very cool, very American bar vibe. I got the Louisiana wings and a goats cheese salad. Definitely wouldn't get the salad again it was tasteless. The wings were really good though. My friends got the ribs and chicken burger. Overall I think the chicken burger was the best choice out of the lot. Would go back to get the burger!"
4.0,"Absolutely delicious food, everything was mouth watering. Thursday night is Ladies Night which includes an 18€ deal with a starter, main, dessert and glass of prosecco! I would recommend the chicken and all there dresserts..."
2.0,Very poor service last time I was there as was the food. Mac and cheese was runny and tasteless and the pull pork bap was covered in grease. It was a Thursday but I would have expected better.
5.0,Highly recommend a trip to this restaurant! Anything I've ordered here has been amazing. On my last trip I got the small nachos which as you can see in the picture they aren't so small! All their dishes are quite large but they do offer some tasty lighter salad dishes which pack just as much flavour.
