Reviews,Ratings
We ate here at about 7 pm on a Wednesday. Place was very busy but service was first class. Food excellent and would highly recommend Yangs to friends and family.,5.0
The staff here are extremely nice and helpful. The food is lovely and the menu has an extensive range of Chinese food. We have been here 3 times since it opened and definitely will be returning soon! there is nothing bad to say about this...More,5.0
"Visited Yang's restaurant last Saturday night.Almost full of people,the food and service was excellent,the atmosphere there very romantic and full of sense of Chinese culture!
Very enjoy in a comfortable surroundings there and will be back!",5.0
"Was in the restaurant on a Saturday night, very busy, food was delicious and the service was excellent. There wasn't a long wait between courses. Lovely and warm atmosphere with friendly and helpful staff. Will definitely go back.",5.0
Superb oriental restaurant in clontarf on the coast road.staff wonderful and service and food sublime. Decor and atmosphere wonderful. Thoroughly enjoyed.,5.0
"We had been fans of the previous incarnation of this restaurant and were keen to try the new restaurant.  The interior is exactly the same and the staff were very pleasant.  Overall we had a nice evening, but I think the food was slightly better...More",3.0
"Ate here on a Monday night in early January surprisingly it was really busy.
We had 3 kids with us who were made welcome. The food was really good, tasty and the staff lovely. Service was fast and efficient. The price was good for the...More",5.0
"Fabulous breakfast date with my wife. She had been at the restaurant previously with friends and raved about the brunch menu. 

We had  a gorgeous breakfast - we ordered two separate dishes and both were SO tasty and delicious 

We ended up having a great...chat with Adrian, the manager who couldn’t have treated us any better and even took the time out to give me a tour of their upstairs area as well. 

Very cosy spot with a huge welcome, on a lovely back street in Portobello. 

We’ll definitely be back again soon, hopefully to sample the weekend brunch menu.More",5.0
"We visited this cosy, out of the way eatery for breakfast purely based on tripadvisor. Glad to say previous reviews did not disappoint. Service was great and the food even better. We had the full breakfast and brioche breakfast bun. Both were outstanding with little...twists that just elevated the food. Adrian and the team were great and attentive. I have no doubt if went at a busier time we'd have to book ahead.More",5.0
Thanks to Adrian for the amazing service today. Food was delicious! Lovely spot a few meters from Main Street.,5.0
31 Lennox is my absolute favorite place for a a brunch and I have always walked out from there will a smile. Probably the best coffee I've tried in Dublin and you can really feel the thought that went into every dish. Combined that with...some of the best ingredients/high quality produce. I will definitely be back many times more!More,5.0
Lovely food and great service! Celebrated a birthday and the staff recommended the panna cotta for the dessert— was delicious!,5.0
"We got here after travelling all day, and were delighted to get a very friendly welcome from Adrian. The food was good but we’ll be coming back to see Adrian. Top worker !",5.0
"We had the most wonderful brunch, food and service fantastic! Massive thanks to Beatrice - you were great!",5.0
Haven't been in a while. Great staff Darren  was extremely friendly good to see the lamb polpette back on the menu. Fair play,5.0
"Excellent meal , tasty  and delivered on time and was piping hot, first time ordering and most definitely won't  be my last",5.0
"We visited Ireland last March and my daughter that lives there suggested a Sunday Brunch place that her friends rave about.. after a delicious meal when we returned this October that was going to be my go to place for Brunch.
Not only was the...meal equally as good the service was excellent.
Our server Beatrice was so sweet and attentive, she gave recommendations that didn't disappoint! Thank You so much and I will definitely return..More",5.0
Excellent quality brunch in a very friendly atmosphere. Got sat in the side street which was in itself an experience. Friendly staff,5.0
"Was there was Brunch..wow...I had the Italian sausage Benedict, was served on Farl with pickled salad. Flavors just explodes in the mouth.
Mango panna cotta, just the perfect bounce to it. 
My new favorite place for brunch when i go to Dublin",5.0
We went out of our way to eat at Lennox 31 and it was well worth it. The food was great and the service from Adrian was even better. Do yourself a favor and grab a bite to eat (with a drink or two) at...Lennox 31!!!More,5.0
Great neighborhood cafe serving up the best coffee this side of the canal. Excellent food menu as well.,5.0
"I’m in here all the time with my friends, Adrian (t manager) always takes care of us and the entire staff is super friendly. Food is amazing, good vibes and you can usually find a spot even when it’s quite busy. Will be back again...soon!More",5.0
"Came here Monday, it was really busy but the service was fantastic, especially Adrian who was super helpful! Great food too",5.0
I am a frequent customer of 31 Lennox and I love it ! Had the butter chicken sandwich and it was delicious. Adrian is always so nice to us :),5.0
"Food was so great we ended up coming here for breakfast during the week, and brunch for the weekend! Poached eggs were definitely worth trying for brunch!",5.0
"We had have an amazing brunch at 31 Lennox with my friends. Staff very friendly and service was excellent. 
Adrian was the best, he give us some great recommendations and food was very tasty. Very relaxing place.
This is must-visit restaurant 😋",5.0
"Excellent food and great place!
Small place and cozy, great atmosfere. The waiter was very polite and took good care of us.",5.0
"Food was delicious.I got the chicken and eggs with house fries.Great selection of cocktails and wine.Really nice atmosphere and vibe.  Adrian the manager and Darren looked after us.
I would definitely recommend to everyone!",5.0
We went here for brunch on a Sunday  food was excellent  cocktails  from Shyam were unbelievable but service  was the icing  on the cake couldn't  recommend  more.,5.0
My sister and I had an absolutely lovely long lunch here on a Wednesday afternoon and ended up staying for 3 hours! The food was delicious and Adrian was so welcoming and attentive to us- as well as a joy to talk to! I am...More,5.0
"First off - Please go here, not Brother Hubbard up the road, it is comfortably nice in atmosphere, service and standard of food.

We went twice for breakfast over a weekend as we were staying nearby and it's such a nice place. The breakfast menu...More",5.0
"Amazing bar/restaurant. Chill, soft, cosy and friendly, tasty. I had a super tasty burger that really was something extra.",5.0
"Food was incredible (original and creative) and the service even better! Our server Adrian was an absolute delight, super friendly and professional! Amazing ambience and decor!!",5.0
Everything was just wonderful. You would be amazed what food pleasures this place can offer you. Unfortunately couldn’t try there famous pancakes cuz they only serve them on weekends but the brioche and mango pana cotta dessert (hope I wrote it right) made it up...More,5.0
"Delicious chicken and eggs with a friend at short notice brunch, super quick and lovely service by Beatrice - thanks a mil!",5.0
We were a bit surprised by the location of the restaurant as it was located in a housing estate outside the very center of Dublin.  But we still took a trip in for lunch as they had received good recommendations on Trip Advisor.  We ate...More,4.0
"Not on the tourist trail but worth spending a little time to get to - just a few minutes walk from the LUAS stop on Harcourt Street.

We'd booked ahead for lunch as we were travelling from Guernsey and wanted to be sure to get...More",5.0
"Had a brunch upstairs for 30 family. Flawless and friendly service, great food and drinks, and a perfect private space

Correspondence with Darren was a breeze and replies were always prompt .

Beatrice was the star of the show…. Always in control, and very attentive...More",5.0
"Honestly, the food here was unreal. I am currently not able to have milk or egg, so vegan options are safe for me - and the vegan Mushrooms on Toast was out of this world (just what I needed on a hangover!) Adrian was friendly...More",5.0
Went to 31 Lennox during the week for some lunch and I got the meatball sub and skinny fries it was delicious and you could tell everything was fresh! Big thank you to Beatrice for her service very friendly and helpful will definitely be back,5.0
"My sister and I had a fabulous lunch here last week. We got a delicious meatball sub, chicken caesar salad, mac and cheese and chips for the table. All food was prepared to a high standard. The manager was very friendly, knowledgeable and accommodating and...More",5.0
A little off the tourist trail but a real gem. Food was excellent and great value for money too. Adrian couldn’t have been more attentive. Would definitely recommend.,5.0
"Came here for breakfast with some friends, we didn't reserve a table, but we were lucky enough to get seats outside that were great. Two of us had the breakfast Bap that was really amazing, another had beef and eggs that was delicious. We ordered...More",5.0
"Nice guy good breakfast, highly recommend!

You can sit inside or outside, quite place.

Never get off the tiger😁

Visit it!",5.0
I was in today with my boyfriend for a meal and we were served by Beatrice. Amazing service we ended up staying longer than what we planned because the service and atmosphere among the staff was amazing! We will 100% come back again! Big shout...More,5.0
"Incredible breakfast. We can easily see why this is #1 in Dublin. Would reccomend to anyone visiting. Top quality, perfectly cooked",5.0
Without a doubt the best brunch we had all trip! The food was superb and the staff were all friendly. We will definitely send all our friends this spot to try out!,5.0
Organised a brunch here as part of my best friends hen party. From the get go had amazing communication from the team via email when planning this event. Fantastic space upstairs for our group to all sit together privately. Excellent service from our waitress on...More,5.0
"Had the nicest vegan breakfast I have ever tasted! Hubby had the peanut Brittle pancakes and devoured them! Atmosphere felt relaxed even though it was busy.  UNBELIEVABLE  staff service, the best I've  encountered in a very long time. 
my go to place now when visiting...More",5.0
Went there for brunch and we had a great time. Great food and set in a lovely location! Staff were very friendly!,5.0
Lovely welcoming place with the most friendly staff. AJ made us so welcome and shyann made us the most amazing cocktails just from suggesting a few ingredients we enjoyed. His cocktails are honestly nicer than a high end London restaurant!,5.0
Amazing! The food was great. Our server was so polite! I would highly recommend this little restaurant.,5.0
We popped by for snacks.    Stayed for dinner.  Clare's food omg . We can't recommend enough.  We shall return,5.0
"Staying at Camden Court Hotel we decided to pop over to 31 Lennox as its close by down a quiet side street.  Delighted we did, we shared a few dishes and they were absolutely delicious. Spying the next table's dessert we decided to go for...More",5.0
"The full Irish breakfast and Mac and cheese was sensational. 
Highly recommend the Sangria. 
Staff very friendly and thoughtful.",5.0
"Just got done having an amazing brunch at 31 Lennox!  Adrian was our waiter and he was awesome. Even gave us some great recommendations for other spots to eat while we are visiting the city.  If your looking for GREAT food and a GREAT experience,...More",5.0
"Amazing food and atmosphere! We ordered the kids cheeseburger, wings and chicken Caesar salad and it was all delicious. Highly recommend this brunch/lunch spot!",5.0
"A fabulous spot with a warm welcome, and fabulous food. The staff were really friendly and attentive. Breakfast really did hit the spot, will definitely be back. Thank you 😊",5.0
Beatrice was our fabulous and personable waiter. Food was delicious and we had the most delightful time! Highly recommend!,5.0
"We are here in Dublin on a preamble to the states and were recommended this place by friends. We had late breakfast which was excellent! Adrian served us and was both welcoming and charming! Very attentive and informative.
The food was excellent and, although im...More",5.0
Came in on my own staff was really friendly and accommodating service 10 out of 10 good selection of wines and cocktails  can't  recommend  enough  special mention to Adrian  and Gabi !!!,5.0
Great food. Great drinks. Brilliant cocktails. Couldn’t recommend it more! Great for a date or for a group.,5.0
"Myself and my boyfriend came here for the first time today and couldn’t recommend it enough. Such lovely and warm staff and manager Adrian couldn’t have been nicer and more accommodating to us and our four legged friend. 10/10  food, coffee and drinks and perfect...More",5.0
"Came for brunch with our dog.

Service outstanding Adrian and the staff were wonderful, menu is massive so plenty of selection. 

Food was delicious, lovely area one of my favourite brunch spots in dublin",5.0
"Stopped by for a drink today and after reading the 5 star reviews on Trip Advisor, decided to have lunch - the Chicken Caesar was delicious and the owner was so friendly - thoroughly recommend this lovely little place",5.0
"We had our first traditional Irish breakfast. It was great, but the service was over the top. Beatrice taught us about Irish breakfast. We taught her about American hot dogs… If you are an adventurous eater and want a great introduction to local cuisine, this...More",5.0
"Excellent service, delicious food and good wine! The meatball sub that I ordered might be the best meatballs I’ve ever had!",5.0
Amazing food and service! Been in a few times. Also very happy with the vegetarian options. The vegan meatball marinara sub is to die for. Thanks Adrian for looking after us!,5.0
"Staff was fab, Katie, our waitress, was great especially. Drinks were perfect for summer and the food was delicious.  Highly recommend.",5.0
Really lovely brunch on Sunday. Great menu options and fantastic service particularly from Katie. Really friendly and helpful.,5.0
"Great food, amazing smoothies, outstanding service. The owner was really accommodating and a really nice guy - highly recommended.",5.0
"A lovely little restaurant. We went for breakfast, which was great. Service was excellent. Would highly recommend a visit, away from the hustle and bustle of the city centre. Adrian was brilliant, so friendly and attentive. Thanks for a great experience ☺️",5.0
My friends and I needed a quick stop for lunch with good food. Someone recommended Lennox 31 and we stopped by. Great little place! The food was good and our server Beatrice gave us quality service. Would recommend this little spot if you need a...More,5.0
I came in the afternoon in lennox today and got an americano which was excellent I also had the buttermilk chicken caesar salad was one of the nicest salads I had. Beatrice was my server who was very friendly and professional I will definitely come...More,5.0
"A lovely little spot with plenty of gluten free options, had the nicest coffee and food I've had in a long time. Beatrice was fantastic, and the cafe some really great tunes. Would recommend.",5.0
A delicious brunch with even better service. The new drinks menu is something I look forward to trying. Special shout out to Adrian for his impeccable hospitality.,5.0
"Beautiful Little restaurant in Portobello.
Service is amazing , food magnificent.
Big shootout to Adrian and Beatrice who made  my lunch full of laughter.
Will come back definitely ☺️☺️☺️",5.0
"Great place, great food, wonderful atmosphere as well as great service and friendly servers. Would happily go again with friends 10/10",5.0
"Our server Katie could not have been better for our family brunch last weekend. It was a big group with lots of kids and demands but she dealt with it all with a smile.

The food was fabulous, the cocktails were made perfectly and we...More",5.0
"Amazing service food & most of all staff. After our own mix up with our booking, Katie was unbelievably kind and helpful sitting a big group and ensuring we had all we needed. All day brunch on the bank holiday was amazing. Great choices, quality...More",5.0
"Really lovely staff and gorgeous food, completely recommend it! Beatrice is a lovely and very  courteous person! Amazing chicken wings",5.0
Food was fab and service was impecable! A very chill place. Thank you Beatrice and Adrian!!! We will be back.,5.0
Very friendly staff ! Had a great time. Compliments to the chef on this amazing meal 🥘  we will be back,4.0
"We’ll  definitely  be back, lovely staff and the food was fab! We’ll be back with more friends ,they won’t regret it!",5.0
"My wife and a I were visiting from the CA/ USA.  We love the Portobello neighborhood and have been trying spots in the area. Everything - and I mean everything - was truly fabulous. My wife had the New Potato and Fennel Salad, I had...More",5.0
Food is fantastic. Worth every step from the Merrion Hotel. Brunch menu is extensive. Adrian took good care of us as well.,5.0
"The food was all made from scratch - excellent! 
The restaurant is decorated very nicely; very cozy and comfortable setting.  Plenty of room on the 1st floor for a group or 4 or 5.  Highly recommend   

Adrian was very inviting and friendly.  Will visit again...More",5.0
"Our first meal in Dublin! So so yummy, exceeded all expectations. Food was very fresh and our waiter Adrian was kind and comedic. A lovely experience and immersion into Irish culture :)",5.0
Thanks for our server !! It was a packed Saturday and very busy. Food is lovely. Outside seats were warm and nice,5.0
The staff were lovely and so polite. Beatrice was our server. Food was great too. Definitely be back,5.0
"Great food, surprisingly combinations, very friendly staff, worth the walk because somewhat out of center.  Good tip!",5.0
I had the Breakfast Bap and my server was Katie. The meal was great and the overall atmosphere is lovely. Definitely coming back again for something else. Would highly recommend.,5.0
"Had lunch and drinks on a Saturday afternoon. The manager, Adrian and Beatrice were excellent and really went above and beyond to look after us. The food was 10/10 as were the cocktails and the service from all staff. In an excellent location very central....More",5.0
"Thanks Alexa and Beatrice for the lovely service! The food is always great here, too. This is the place you want to come to every week!",5.0
Went to 31 Lennox today for some food and drinks. Food and drinks was top of the range. Staff were phenomenal especially bea and Gabriela.,5.0
"Love the food and the service, affordable prices and great cocktails,  nice outside area ! Need to come back",5.0
Katie was excellent for my girlfriends birthday brunch! Food was excellent and mimosas on the house!,5.0
We had a very overpriced and underwhelming meal here.  The seafood chowder was what you would expect at a pub.  The duck breast was overcooked.  The monkfish was a tiny portion served with undercooked lentils.  The desserts were pretty hideous.  The deconstructed pavlova was crap....The Christmas bread pudding was inedible fruitcake with a small teaspoon size ice cream on top.  The waiters were snobbish and irritating.  They got no tip from us.  We were expecting a great dinner based on the reviews and we were so disappointed.More,1.0
"We called in on the off-chance of getting a table and were delighted to be allocated one in the raised seating area at the side of the restaurant.  Excellent choice of items on the menu, all food was very well presented and tasted divine!More",5.0
